obsnme,obsval,weight,obgnme,i,j,obsid,oname,otype,time,usecol,variable,standard_deviation
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,0.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,0.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp1-f3_variable:so4,5.51205e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,0.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,0.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,0.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp4-f5_variable:so4,5.51205e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,0.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,1.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,1.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:welopt-ly3_variable:so4,5.51205e-05,0.0,conc,,,welopt-ly3,conc,lst,1.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,1.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,1.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp1-f3_variable:so4,5.51205e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,1.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,1.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,1.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp4-f5_variable:so4,5.51205e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,1.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:10.0542_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,10.0542,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:10.0542_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,10.0542,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:10.0542_obsid:wp1-f3_variable:so4,5.51186e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,10.0542,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,10.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,10.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:welopt-ly3_variable:so4,5.51187e-05,0.0,conc,,,welopt-ly3,conc,lst,10.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,10.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,10.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp1-f3_variable:so4,5.51186e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,10.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,10.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,10.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp4-f5_variable:so4,5.51184e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,10.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,100.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,100.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,100.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,100.0,sim,o0,2e-05
