parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,inst,pname,pstyle,ptype,x,y,zone
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-144.10_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-144.10,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-134.10_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-134.10,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-124.09_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-124.09,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-114.09_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-114.09,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-104.09_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-104.09,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-94.09_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-94.09,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-84.08_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-84.08,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-74.08_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-74.08,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-64.08_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-64.08,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-54.08_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-54.08,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-44.08_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-44.08,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-34.07_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-34.07,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-24.07_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-24.07,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-14.07_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-14.07,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-4.07_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-4.07,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:5.93_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,5.93,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:15.94_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,15.94,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:25.94_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,25.94,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:35.94_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,35.94,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:45.94_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,45.94,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:55.94_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,55.94,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:65.95_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,65.95,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:75.95_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,75.95,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:85.95_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,85.95,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:95.95_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,95.95,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:105.96_y:0.51_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,105.96,0.51,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-144.10_y:11.28_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-144.10,11.28,1
pname:npfklayer1_inst:0_ptype:pp_pstyle:m_x:-134.10_y:11.28_zone:1,log,factor,1.0,0.001,10.0,npfklayer1,1.0,0.0,1,0,npfklayer1,m,pp,-134.10,11.28,1
