pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
pyr.rate,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer1,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer4,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer5,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer6,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer7,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer8,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer9,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer10,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer11,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer12,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer1,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer2,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer3,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer4,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer5,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer6,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer7,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer8,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer9,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer10,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer11,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mst.porosity.layer12,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer1,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer2,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer3,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer4,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer5,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer6,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer7,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer8,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer9,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer10,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer11,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dsp.alh.layer12,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer1,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer2,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer3,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer4,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer5,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer6,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer7,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer8,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer9,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer10,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer11,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kinetic.phases.pyrite.m0.layer12,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
